Length;Word count;Sentence count;Average sentence length;Time, ms
1588674;238224;119112;2;761,181278
2154721;365322;121774;3;1542,198336
2005070;330520;82630;4;1527,315484
1701575;270295;54059;5;1672,108951
2043219;332616;55436;6;2252,737641
1989573;310107;44301;7;2604,663544
2066895;320232;40029;8;2820,781963
2331351;358344;39816;9;3149,301503
2165172;332850;33285;10;3074,585020
2172613;332860;30260;11;3161,517838
2171230;333036;27753;12;3191,103674
2129533;326222;25094;13;3145,804953
2115192;325010;23215;14;3181,060137
2030543;312120;20808;15;3101,052823
1947520;299440;18715;16;2965,803733
1888958;289918;17054;17;2926,174480
1806590;278460;15470;18;2802,546981
1723352;266418;14022;19;2697,406887
1625848;250860;12543;20;2555,780021
1510222;233520;11120;21;2394,730083
1427609;221694;10077;22;2265,768742
1360746;211577;9199;23;2168,607170
1278672;198720;8280;24;2026,159587
1143551;177650;7106;25;1821,359695
1098050;170742;6567;26;1768,991399
993103;155736;5768;27;1619,391211
894647;139804;4993;28;1437,713783
851545;133458;4602;29;1385,376350
768797;120630;4021;30;1263,682058
712724;111507;3597;31;1149,887196
633166;99840;3120;32;1037,193097
576164;90420;2740;33;952,317326
524007;82722;2433;34;856,468140
477331;75670;2162;35;800,553211
455964;72684;2019;36;774,249346
392744;62197;1681;37;653,528809
349020;55518;1461;38;583,632230
305254;48438;1242;39;508,325512
304378;48400;1210;40;518,801987
256324;40631;991;41;430,594802
244321;38808;924;42;400,696773
207352;33024;768;43;356,402977
188061;30228;687;44;312,502911
155987;24885;553;45;263,645995
149507;24104;524;46;251,809189
